A1,A2,cluster
3.5975062526,2.04310490998,5
3.60966810685,2.20685320032,5
3.66635992916,2.21446636151,5
3.73019406848,2.21962624835,5
3.62879332275,2.35094771409,5
3.58051603278,2.37086327238,5
3.58013160554,2.16197342508,5
3.57910111327,2.22910239634,5
3.64951589069,2.2543563128,5
3.70803667176,2.35357993069,5
3.64110198482,2.35381362119,5
3.63278382969,2.27576647959,5
3.55894739884,2.22664086002,5
3.73119753328,2.20441967198,5
3.61087059567,2.1788454762,5
3.54543071041,2.15463328523,5
3.61709332362,2.240613585,5
3.76939891053,2.04162822615,5
3.79084591086,2.2425264729,5
3.6809153622,2.16647477135,5
3.64680330627,2.1451944905,5
3.56576164878,2.27374130923,5
3.70983591639,1.97976064914,5
3.65468321065,2.07196360742,5
3.64126612303,2.18189180495,5
3.6572344024,2.25042939681,5
3.48049836867,2.25716472103,5
3.62419147721,2.09882521697,5
3.79783836721,2.21126604101,5
3.71048303536,2.28440710671,5
3.09406341263,2.27415326778,4
3.13915903374,2.16076770458,4
3.19610683149,2.13993567063,4
3.25580164227,2.16539679836,4
3.34096485309,2.21928187272,4
3.2876669018,2.26146058255,4
3.16306583097,2.39624794657,4
3.27512852177,2.17718989327,4
3.40149571614,2.40227481965,4
3.28369611022,2.03584771916,7
3.26345246669,2.1530864708,4
3.25877006054,2.31430799175,4
3.28655400018,1.92788941118,7
3.1933500914,2.29346218442,4
3.18200274087,2.2620922923,4
3.18703171742,2.13493915662,4
3.36077368141,2.25428821711,4
3.18053874602,2.04695916231,7
3.30814952061,2.10814048808,4
3.23766572967,2.10410920179,4
3.2228154054,2.38093548308,4
2.97624844493,2.12710393857,7
3.29465830618,2.28082614487,4
3.18911153384,2.22123934956,4
3.24605184114,2.30528842979,4
3.21973808629,2.26633562113,4
3.29186755062,2.24196958503,4
3.21550477117,2.20079787935,4
3.03420817758,2.21917964208,4
3.16614816684,2.23273404037,4
3.70915630232,1.80614605645,6
3.62990021529,1.84473257138,6
3.79978228114,1.76185250766,6
3.65010146414,1.85316662591,6
3.63739442851,1.85945729412,6
3.62398898356,1.79372967928,6
3.62832878301,1.79402336028,6
3.76039316103,1.82590398738,6
3.44583148846,1.71143087327,6
3.71681287055,1.70967455793,6
3.56034733183,1.75205746644,6
3.72379953422,1.85189410028,6
3.59962850574,1.84573549962,6
3.64394988122,1.85985325197,6
3.67497264785,1.74196614761,6
3.56547727,1.88560876515,6
3.62428302932,1.90845755289,6
3.9073120767,1.67611583717,6
3.63940973609,1.90560635726,6
3.62057222734,1.91899115946,6
3.46000286349,1.72470305623,6
3.60618006505,1.88990538135,6
3.49111795005,1.62639410216,6
3.52587142731,1.7151728315,6
3.56202208212,1.79685606627,6
3.67843209394,1.80947011473,6
3.61507198961,1.71735149638,6
3.61315202156,1.77132937646,6
3.59073172636,1.77237100489,6
3.65757570178,1.54275322473,6
3.27479663864,2.03781363881,7
3.28530754129,1.74254347182,8
2.97370779405,1.85047947475,7
3.13238762772,1.73060027592,8
3.31476084967,1.747096299,8
3.35647832945,1.59953938574,8
3.17473915448,1.80016989563,8
3.14657152507,1.76542910028,8
3.1904995859,1.8688151417,7
3.11798246736,1.8268101695,7
3.20329598425,1.92267562296,7
3.33994122715,1.71335193767,8
3.21572912934,1.70992226733,8
3.03527212041,1.93806210072,7
3.21736949511,1.80903730058,8
